,dataset,model,algorithm,fold,metric,value
257,Permeability,MolFormer,random-forest,0,R2,0.29100692473378265
258,Permeability,MolFormer,random-forest,1,MAE,0.48632838063020833
259,Permeability,MolFormer,random-forest,1,RMSE,0.5908577857543057
260,Permeability,MolFormer,random-forest,1,R2,0.3331106381151412
261,Permeability,MolFormer,random-forest,2,MAE,0.46493758326339013
262,Permeability,MolFormer,random-forest,2,RMSE,0.5639508395738536
263,Permeability,MolFormer,random-forest,2,R2,0.28643862053050495
264,Permeability,MolFormer,random-forest,3,MAE,0.4678597511990909
265,Permeability,MolFormer,random-forest,3,RMSE,0.5676586622871111
266,Permeability,MolFormer,random-forest,3,R2,0.3285758148002702
267,Permeability,MolFormer,random-forest,4,MAE,0.4635038367705293
268,Permeability,MolFormer,random-forest,4,RMSE,0.5638223742470556
269,Permeability,MolFormer,random-forest,4,R2,0.3400913411914823
270,Permeability,PhysChem,linear,0,MAE,0.36901101902899003
271,Permeability,PhysChem,linear,0,RMSE,0.48699817283232355
272,Permeability,PhysChem,linear,0,R2,0.45439065327402794
273,Permeability,PhysChem,linear,1,MAE,0.40268816634157933
274,Permeability,PhysChem,linear,1,RMSE,0.5160618015857712
275,Permeability,PhysChem,linear,1,R2,0.491265380094866
276,Permeability,PhysChem,linear,2,MAE,0.3668639398545308
277,Permeability,PhysChem,linear,2,RMSE,0.5194697784855997
278,Permeability,PhysChem,linear,2,R2,0.3945623646865105
279,Permeability,PhysChem,linear,3,MAE,0.38324852943709725
280,Permeability,PhysChem,linear,3,RMSE,0.5272509944678816
281,Permeability,PhysChem,linear,3,R2,0.42076171763473924
282,Permeability,PhysChem,linear,4,MAE,0.38087347561383056
283,Permeability,PhysChem,linear,4,RMSE,0.5105180421440941
284,Permeability,PhysChem,linear,4,R2,0.4589699283348644
285,Permeability,PhysChem,svm,0,MAE,0.3338330111254791
286,Permeability,PhysChem,svm,0,RMSE,0.4420922342209131
287,Permeability,PhysChem,svm,0,R2,0.5503724537158217
288,Permeability,PhysChem,svm,1,MAE,0.3809187316087249
289,Permeability,PhysChem,svm,1,RMSE,0.4970619053467967
290,Permeability,PhysChem,svm,1,R2,0.5280360524923388
291,Permeability,PhysChem,svm,2,MAE,0.34099566951802135
292,Permeability,PhysChem,svm,2,RMSE,0.456590013971663
293,Permeability,PhysChem,svm,2,R2,0.5322630719332844
294,Permeability,PhysChem,svm,3,MAE,0.3591400699658081
295,Permeability,PhysChem,svm,3,RMSE,0.4771945470663226
296,Permeability,PhysChem,svm,3,R2,0.5255249430831301
297,Permeability,PhysChem,svm,4,MAE,0.3418451885579381
298,Permeability,PhysChem,svm,4,RMSE,0.4611387157185706
299,Permeability,PhysChem,svm,4,R2,0.5585694497969385
300,Permeability,PhysChem,random-forest,0,MAE,0.36162123052317585
301,Permeability,PhysChem,random-forest,0,RMSE,0.4678194266364636
302,Permeability,PhysChem,random-forest,0,R2,0.49651835484815765
303,Permeability,PhysChem,random-forest,1,MAE,0.4009662442737311
304,Permeability,PhysChem,random-forest,1,RMSE,0.5123817196517269
