,dataset,model,algorithm,fold,metric,value
328,Permeability,MolBERT,linear,4,RMSE,0.6098377730700433
329,Permeability,MolBERT,linear,4,R2,0.19451481252180047
330,Permeability,MolBERT,svm,0,MAE,0.34029357001219634
331,Permeability,MolBERT,svm,0,RMSE,0.4402302913358015
332,Permeability,MolBERT,svm,0,R2,0.5862634844660342
333,Permeability,MolBERT,svm,1,MAE,0.34031182029879925
334,Permeability,MolBERT,svm,1,RMSE,0.43775980054257013
335,Permeability,MolBERT,svm,1,R2,0.5945073544256849
336,Permeability,MolBERT,svm,2,MAE,0.37336857913602367
337,Permeability,MolBERT,svm,2,RMSE,0.4866194482092475
338,Permeability,MolBERT,svm,2,R2,0.5456688284813772
339,Permeability,MolBERT,svm,3,MAE,0.34101208830826785
340,Permeability,MolBERT,svm,3,RMSE,0.4538589580881491
341,Permeability,MolBERT,svm,3,R2,0.5258088554042359
342,Permeability,MolBERT,svm,4,MAE,0.3614971665576691
343,Permeability,MolBERT,svm,4,RMSE,0.4854982145845579
344,Permeability,MolBERT,svm,4,R2,0.4894900736959179
345,Permeability,MolBERT,random-forest,0,MAE,0.4149721422477486
346,Permeability,MolBERT,random-forest,0,RMSE,0.5208324503332062
347,Permeability,MolBERT,random-forest,0,R2,0.420891314910009
348,Permeability,MolBERT,random-forest,1,MAE,0.3827298934778058
349,Permeability,MolBERT,random-forest,1,RMSE,0.49021830778847614
350,Permeability,MolBERT,random-forest,1,R2,0.4915007940394134
351,Permeability,MolBERT,random-forest,2,MAE,0.4277392963005039
352,Permeability,MolBERT,random-forest,2,RMSE,0.5366731909741778
353,Permeability,MolBERT,random-forest,2,R2,0.4473967779025054
354,Permeability,MolBERT,random-forest,3,MAE,0.38007833479337166
355,Permeability,MolBERT,random-forest,3,RMSE,0.4852526823946351
356,Permeability,MolBERT,random-forest,3,R2,0.45793981956039165
357,Permeability,MolBERT,random-forest,4,MAE,0.40524383652339807
358,Permeability,MolBERT,random-forest,4,RMSE,0.514624461173986
359,Permeability,MolBERT,random-forest,4,R2,0.4263991751391646
360,hPPB,ECFP4,linear,0,MAE,0.7129940024117574
361,hPPB,ECFP4,linear,0,RMSE,0.8837328228220628
362,hPPB,ECFP4,linear,0,R2,0.06742021311405644
363,hPPB,ECFP4,linear,1,MAE,0.6550492523581019
364,hPPB,ECFP4,linear,1,RMSE,0.7898209052294589
365,hPPB,ECFP4,linear,1,R2,0.034136901431968014
366,hPPB,ECFP4,linear,2,MAE,0.6088805509269537
367,hPPB,ECFP4,linear,2,RMSE,0.792978766252448
368,hPPB,ECFP4,linear,2,R2,-0.06600457465363707
369,hPPB,ECFP4,svm,0,MAE,0.6707878622020793
370,hPPB,ECFP4,svm,0,RMSE,0.8132076098047227
371,hPPB,ECFP4,svm,0,R2,0.21032771627371538
372,hPPB,ECFP4,svm,1,MAE,0.6109636603316311
373,hPPB,ECFP4,svm,1,RMSE,0.7274334515993417
374,hPPB,ECFP4,svm,1,R2,0.180696402553977
375,hPPB,ECFP4,svm,2,MAE,0.5738172472371396
376,hPPB,ECFP4,svm,2,RMSE,0.7353269324697548
377,hPPB,ECFP4,svm,2,R2,0.08336402525507025
378,hPPB,ECFP4,random-forest,0,MAE,0.6774982339166152
379,hPPB,ECFP4,random-forest,0,RMSE,0.8563346964946449
380,hPPB,ECFP4,random-forest,0,R2,0.12434887704456321
381,hPPB,ECFP4,random-forest,1,MAE,0.6194323176637312
382,hPPB,ECFP4,random-forest,1,RMSE,0.7661887842595989
383,hPPB,ECFP4,random-forest,1,R2,0.09107111456913708
384,hPPB,ECFP4,random-forest,2,MAE,0.6551723520525808
385,hPPB,ECFP4,random-forest,2,RMSE,0.8546687012170155
386,hPPB,ECFP4,random-forest,2,R2,-0.23831619223739553
387,hPPB,MolFormer,linear,0,MAE,0.6365845010939475
388,hPPB,MolFormer,linear,0,RMSE,0.8295061961072173
389,hPPB,MolFormer,linear,0,R2,0.17835674202008622
390,hPPB,MolFormer,linear,1,MAE,0.5844357154090003
391,hPPB,MolFormer,linear,1,RMSE,0.7780215289850099
392,hPPB,MolFormer,linear,1,R2,0.06277998624184733
393,hPPB,MolFormer,linear,2,MAE,0.5654061384055737
394,hPPB,MolFormer,linear,2,RMSE,0.761074784024952
395,hPPB,MolFormer,linear,2,R2,0.018047188177069073
396,hPPB,MolFormer,svm,0,MAE,0.5318338717385247
397,hPPB,MolFormer,svm,0,RMSE,0.6962184475519755
398,hPPB,MolFormer,svm,0,R2,0.4211912601588482
399,hPPB,MolFormer,svm,1,MAE,0.4786381685420516
400,hPPB,MolFormer,svm,1,RMSE,0.6275324868907101
401,hPPB,MolFormer,svm,1,R2,0.3902795628091865
402,hPPB,MolFormer,svm,2,MAE,0.46842489176784124
403,hPPB,MolFormer,svm,2,RMSE,0.630343599427694
404,hPPB,MolFormer,svm,2,R2,0.3264177310273696
405,hPPB,MolFormer,random-forest,0,MAE,0.6240299572058461
406,hPPB,MolFormer,random-forest,0,RMSE,0.7895786662073958
407,hPPB,MolFormer,random-forest,0,R2,0.255551193061905
408,hPPB,MolFormer,random-forest,1,MAE,0.5704924396967163
409,hPPB,MolFormer,random-forest,1,RMSE,0.7003821600022262
410,hPPB,MolFormer,random-forest,1,R2,0.240498780964448
411,hPPB,MolFormer,random-forest,2,MAE,0.5449976772432259
412,hPPB,MolFormer,random-forest,2,RMSE,0.7131103073462806
413,hPPB,MolFormer,random-forest,2,R2,0.13791640755300172
414,hPPB,PhysChem,linear,0,MAE,1.7975062830699884
415,hPPB,PhysChem,linear,0,RMSE,2.5460707921168058
416,hPPB,PhysChem,linear,0,R2,-6.7407844955963645
417,hPPB,PhysChem,linear,1,MAE,2.1481248420868626
418,hPPB,PhysChem,linear,1,RMSE,2.6472194820834414
419,hPPB,PhysChem,linear,1,R2,-9.850212037391323
420,hPPB,PhysChem,linear,2,MAE,2.2608694204431936
421,hPPB,PhysChem,linear,2,RMSE,5.996445183243415
422,hPPB,PhysChem,linear,2,R2,-59.957014406133354
423,hPPB,PhysChem,svm,0,MAE,0.5417807670348471
424,hPPB,PhysChem,svm,0,RMSE,0.7009098711189237
425,hPPB,PhysChem,svm,0,R2,0.4133644469747222
426,hPPB,PhysChem,svm,1,MAE,0.5042302489727769
427,hPPB,PhysChem,svm,1,RMSE,0.6644253357868953
428,hPPB,PhysChem,svm,1,R2,0.3164808386633813
429,hPPB,PhysChem,svm,2,MAE,0.529659339828916
430,hPPB,PhysChem,svm,2,RMSE,0.6625282561369793
431,hPPB,PhysChem,svm,2,R2,0.2558769417806275
432,hPPB,PhysChem,random-forest,0,MAE,0.5327157851256924
433,hPPB,PhysChem,random-forest,0,RMSE,0.6789852354936555
434,hPPB,PhysChem,random-forest,0,R2,0.44949066396158255
435,hPPB,PhysChem,random-forest,1,MAE,0.5682792190874625
436,hPPB,PhysChem,random-forest,1,RMSE,0.7057834164002189
437,hPPB,PhysChem,random-forest,1,R2,0.2287392613606697
438,hPPB,PhysChem,random-forest,2,MAE,0.45007133856177417
439,hPPB,PhysChem,random-forest,2,RMSE,0.6242792755575053
440,hPPB,PhysChem,random-forest,2,R2,0.3393160033060766
441,hPPB,MolBERT,linear,0,MAE,0.4981967242339304
442,hPPB,MolBERT,linear,0,RMSE,0.6498178389860441
443,hPPB,MolBERT,linear,0,R2,0.49577161950271875
444,hPPB,MolBERT,linear,1,MAE,0.5724425278325106
