,objective,dataset,algorithm,da,train_size,fold,metric,value
271,mtr,Solubility,random-forest,MTR,0,2,RMSE,0.6055919927886627
272,mtr,Solubility,random-forest,MTR,0,2,R2,0.251599518702032
273,mtr,Solubility,random-forest,No DA,0,3,MAE,0.5411098665553217
274,mtr,Solubility,random-forest,No DA,0,3,RMSE,0.718750864843847
275,mtr,Solubility,random-forest,No DA,0,3,R2,0.0161279177833048
276,mtr,Solubility,random-forest,No DA,30,3,MAE,0.4579204755630768
277,mtr,Solubility,random-forest,No DA,30,3,RMSE,0.6131244131868349
278,mtr,Solubility,random-forest,No DA,30,3,R2,0.2840559320093557
279,mtr,Solubility,random-forest,No DA,60,3,MAE,0.4480751568719449
280,mtr,Solubility,random-forest,No DA,60,3,RMSE,0.6028428388559102
281,mtr,Solubility,random-forest,No DA,60,3,R2,0.3078661502104997
282,mtr,Solubility,random-forest,No DA,100,3,MAE,0.4556351285736957
283,mtr,Solubility,random-forest,No DA,100,3,RMSE,0.6034045563806798
284,mtr,Solubility,random-forest,No DA,100,3,R2,0.3065757148980506
285,mtr,Solubility,random-forest,MLM,0,3,MAE,0.536538494803131
286,mtr,Solubility,random-forest,MLM,0,3,RMSE,0.7057033471743777
287,mtr,Solubility,random-forest,MLM,0,3,R2,0.0515242501429711
288,mtr,Solubility,random-forest,CL,0,3,MAE,0.5372814855516523
289,mtr,Solubility,random-forest,CL,0,3,RMSE,0.7023878520165598
290,mtr,Solubility,random-forest,CL,0,3,R2,0.0604154640550244
291,mtr,Solubility,random-forest,MTR,0,3,MAE,0.4648895025309407
292,mtr,Solubility,random-forest,MTR,0,3,RMSE,0.6362893564742529
293,mtr,Solubility,random-forest,MTR,0,3,R2,0.2289346377717365
294,mtr,Solubility,random-forest,No DA,0,4,MAE,0.5070469773325869
295,mtr,Solubility,random-forest,No DA,0,4,RMSE,0.6519986146898422
296,mtr,Solubility,random-forest,No DA,0,4,R2,0.0415933296183582
297,mtr,Solubility,random-forest,No DA,30,4,MAE,0.4270403687472614
298,mtr,Solubility,random-forest,No DA,30,4,RMSE,0.5723240848780989
299,mtr,Solubility,random-forest,No DA,30,4,R2,0.2615169582587674
300,mtr,Solubility,random-forest,No DA,60,4,MAE,0.4349420737134941
301,mtr,Solubility,random-forest,No DA,60,4,RMSE,0.576320165200663
302,mtr,Solubility,random-forest,No DA,60,4,R2,0.2511684861438852
303,mtr,Solubility,random-forest,No DA,100,4,MAE,0.4422308767698557
304,mtr,Solubility,random-forest,No DA,100,4,RMSE,0.5857298967513364
305,mtr,Solubility,random-forest,No DA,100,4,R2,0.2265161231681483
306,mtr,Solubility,random-forest,MLM,0,4,MAE,0.49674282391668
307,mtr,Solubility,random-forest,MLM,0,4,RMSE,0.6649083391193664
308,mtr,Solubility,random-forest,MLM,0,4,R2,0.00326423643053
309,mtr,Solubility,random-forest,CL,0,4,MAE,0.5025946259437484
310,mtr,Solubility,random-forest,CL,0,4,RMSE,0.6667522220233492
311,mtr,Solubility,random-forest,CL,0,4,R2,-0.0022716013735586
312,mtr,Solubility,random-forest,MTR,0,4,MAE,0.4359581387989292
313,mtr,Solubility,random-forest,MTR,0,4,RMSE,0.613722811198381
314,mtr,Solubility,random-forest,MTR,0,4,R2,0.150817544036396
315,mtr,RLM,svm,No DA,0,0,MAE,0.5318968478125324
316,mtr,RLM,svm,No DA,0,0,RMSE,0.6545106972526724
317,mtr,RLM,svm,No DA,0,0,R2,-0.1059973193318939
318,mtr,RLM,svm,No DA,30,0,MAE,0.4019920648953277
319,mtr,RLM,svm,No DA,30,0,RMSE,0.5188476812629496
320,mtr,RLM,svm,No DA,30,0,R2,0.3049751435005647
321,mtr,RLM,svm,No DA,60,0,MAE,0.4054070428822595
322,mtr,RLM,svm,No DA,60,0,RMSE,0.5249664378248611
323,mtr,RLM,svm,No DA,60,0,R2,0.2884856650962917
324,mtr,RLM,svm,No DA,100,0,MAE,0.4081722729009632
325,mtr,RLM,svm,No DA,100,0,RMSE,0.5266953444657138
326,mtr,RLM,svm,No DA,100,0,R2,0.2837913935253474
327,mtr,RLM,svm,MLM,0,0,MAE,0.5338497150313073
328,mtr,RLM,svm,MLM,0,0,RMSE,0.6552708215885795
329,mtr,RLM,svm,MLM,0,0,R2,-0.1085677392122852
330,mtr,RLM,svm,CL,0,0,MAE,0.5787042584251695
331,mtr,RLM,svm,CL,0,0,RMSE,0.7158992734323026
332,mtr,RLM,svm,CL,0,0,R2,-0.3231967321072921
333,mtr,RLM,svm,MTR,0,0,MAE,0.4781791534040512
334,mtr,RLM,svm,MTR,0,0,RMSE,0.5957408428331937
335,mtr,RLM,svm,MTR,0,0,R2,0.0837049776178379
336,mtr,RLM,svm,No DA,0,1,MAE,0.541476948379697
337,mtr,RLM,svm,No DA,0,1,RMSE,0.6448696912059991
338,mtr,RLM,svm,No DA,0,1,R2,0.0044588211733425
339,mtr,RLM,svm,No DA,30,1,MAE,0.4148715171359161
340,mtr,RLM,svm,No DA,30,1,RMSE,0.5186237688039506
341,mtr,RLM,svm,No DA,30,1,R2,0.3560974707843432
342,mtr,RLM,svm,No DA,60,1,MAE,0.4277366428969569
343,mtr,RLM,svm,No DA,60,1,RMSE,0.5335157104663284
344,mtr,RLM,svm,No DA,60,1,R2,0.3185880860551048
345,mtr,RLM,svm,No DA,100,1,MAE,0.4279473653251407
346,mtr,RLM,svm,No DA,100,1,RMSE,0.5271080924905687
347,mtr,RLM,svm,No DA,100,1,R2,0.3348575512768391
348,mtr,RLM,svm,MLM,0,1,MAE,0.5433679831081911
349,mtr,RLM,svm,MLM,0,1,RMSE,0.6484092147483587
350,mtr,RLM,svm,MLM,0,1,R2,-0.0064997087199083
351,mtr,RLM,svm,CL,0,1,MAE,0.5855641489994143
352,mtr,RLM,svm,CL,0,1,RMSE,0.7189076028919513
353,mtr,RLM,svm,CL,0,1,R2,-0.2372613612466656
354,mtr,RLM,svm,MTR,0,1,MAE,0.4994247398778046
355,mtr,RLM,svm,MTR,0,1,RMSE,0.6089088512442357
356,mtr,RLM,svm,MTR,0,1,R2,0.1123947312065481
357,mtr,RLM,svm,No DA,0,2,MAE,0.5026191275783839
358,mtr,RLM,svm,No DA,0,2,RMSE,0.6071597637161449
359,mtr,RLM,svm,No DA,0,2,R2,0.0661840055862054
360,mtr,RLM,svm,No DA,30,2,MAE,0.4133873572185666
361,mtr,RLM,svm,No DA,30,2,RMSE,0.50523707562427
362,mtr,RLM,svm,No DA,30,2,R2,0.3533850117625645
363,mtr,RLM,svm,No DA,60,2,MAE,0.4140774120056701
364,mtr,RLM,svm,No DA,60,2,RMSE,0.5087211041632249
365,mtr,RLM,svm,No DA,60,2,R2,0.3444363706981206
366,mtr,RLM,svm,No DA,100,2,MAE,0.4107083834520842
367,mtr,RLM,svm,No DA,100,2,RMSE,0.5046609426074472
368,mtr,RLM,svm,No DA,100,2,R2,0.354858869704502
369,mtr,RLM,svm,MLM,0,2,MAE,0.5224300974123858
370,mtr,RLM,svm,MLM,0,2,RMSE,0.6318049304127936
371,mtr,RLM,svm,MLM,0,2,R2,-0.0111634501280051
372,mtr,RLM,svm,CL,0,2,MAE,0.555806796413154
